FECHA,COMBINACIÓN GANADORA,,,,,,COMP.,R.,JOKER
11/07/2020,06,07,14,18,25,34,44,9,8852535
9/07/2020,04,11,22,24,27,36,41,5,6926745
4/07/2020,04,07,12,15,36,41,33,1,9010183
2/07/2020,09,13,14,32,34,49,23,0,5003634
27/06/2020,18,28,33,38,46,49,44,1,7852258
25/06/2020,27,30,32,35,42,47,07,0,8461346
20/06/2020,08,09,24,28,42,47,38,1,7590726
18/06/2020,09,15,17,18,37,46,05,8,2663255
13/06/2020,13,14,16,19,31,38,15,9,8927624
11/06/2020,01,03,28,30,38,40,37,1,1831913
6/06/2020,03,07,09,28,30,48,16,4,7700485
4/06/2020,09,12,16,21,22,23,34,8,4738730
30/05/2020,02,04,15,17,36,40,34,5,2152178
28/05/2020,18,24,28,31,42,49,08,1,8485681
23/05/2020,01,08,09,14,21,23,46,4,3943137
21/05/2020,02,05,09,21,34,49,22,2,7056324
"Periodo sin sorteos por las 
medidas del estado de alarma",,,,,,,,,
14/03/2020,09,20,31,34,37,45,44,7,6381073
12/03/2020,13,15,16,27,38,49,07,0,8205072
7/03/2020,03,05,16,22,29,33,01,4,7079157
5/03/2020,05,15,19,27,46,49,39,3,0151181
29/02/2020,03,17,28,36,41,47,49,4,5268914
27/02/2020,16,18,24,25,34,42,11,7,2173453
22/02/2020,07,12,25,31,37,44,39,4,0662675
20/02/2020,03,15,18,23,31,39,26,5,0576516
15/02/2020,03,07,09,30,44,45,31,9,6288396
13/02/2020,04,12,20,36,40,45,18,0,3122084
8/02/2020,04,20,25,28,46,49,16,2,5745185
6/02/2020,14,16,28,33,45,47,18,3,1471400
1/02/2020,13,15,36,39,40,41,33,1,8305439
30/01/2020,19,25,28,29,34,42,33,9,9596183
25/01/2020,03,20,27,28,44,46,14,7,1807976
23/01/2020,02,17,18,19,38,40,09,1,7255927
18/01/2020,07,12,17,23,33,37,44,6,4987695
16/01/2020,01,12,17,18,30,46,11,2,7645589
11/01/2020,13,14,15,23,24,41,39,7,6400630
9/01/2020,03,19,34,36,44,48,04,3,1901947
4/01/2020,01,02,22,27,30,44,36,5,2157304
2/01/2020,11,25,32,40,44,46,12,2,4581061
28/12/2019,05,07,27,39,42,48,14,1,3670600
26/12/2019,13,35,43,45,46,47,02,6,8401006
21/12/2019,08,11,37,38,42,45,17,2,1264669
19/12/2019,19,31,32,37,40,48,36,1,8972940
14/12/2019,06,16,18,30,32,41,19,4,8499280
12/12/2019,02,13,31,32,33,40,05,9,6757977
7/12/2019,02,13,34,36,41,42,28,6,1608523
5/12/2019,01,17,18,40,41,43,21,7,6112558
30/11/2019,02,04,07,09,16,41,25,3,8944023
28/11/2019,07,11,21,41,43,46,16,2,2781963
23/11/2019,05,07,08,09,17,42,03,3,7757709
21/11/2019,03,05,11,27,34,37,40,6,8145569
16/11/2019,09,26,33,34,36,44,28,4,9922559
14/11/2019,02,16,19,25,37,43,30,7,2931652
9/11/2019,01,24,29,42,44,45,38,1,7843289
7/11/2019,10,12,23,26,41,46,34,4,4353011
2/11/2019,05,18,26,28,46,47,13,9,0880983
31/10/2019,05,07,15,29,42,44,40,2,4305608
26/10/2019,02,06,23,36,37,46,34,5,6929806
24/10/2019,05,13,19,38,39,42,45,0,3974958
19/10/2019,03,10,17,26,39,49,25,8,8145414
17/10/2019,02,16,28,36,38,43,07,2,8514919
12/10/2019,08,20,26,27,47,48,34,2,1637307
10/10/2019,11,20,22,26,27,43,31,5,6730939
5/10/2019,02,07,21,24,30,42,32,8,0405108
3/10/2019,10,19,20,25,39,42,46,8,8782477
28/09/2019,10,15,21,22,42,43,19,5,6832762
26/09/2019,10,16,28,37,39,40,01,9,2815046
21/09/2019,10,14,22,26,27,36,47,6,8030393
19/09/2019,10,20,29,30,33,41,24,5,3143212
14/09/2019,16,32,34,36,45,46,21,3,5369265
12/09/2019,03,10,16,27,34,37,30,5,5927655
7/09/2019,25,31,37,39,44,49,10,2,7720727
5/09/2019,03,10,11,13,19,31,40,5,2819371
31/08/2019,08,11,12,27,41,44,49,5,9082989
29/08/2019,01,02,03,28,40,43,17,6,4251483
24/08/2019,03,27,29,36,37,47,42,7,5326330
22/08/2019,21,24,38,39,45,46,29,5,4974449
17/08/2019,01,09,14,25,28,29,37,0,2424003
15/08/2019,03,05,10,21,26,49,02,3,1405836
10/08/2019,09,19,22,29,37,44,21,2,9996383
8/08/2019,09,21,31,35,43,47,17,5,9804115
3/08/2019,10,13,27,29,37,45,40,8,9615914
1/08/2019,06,11,21,22,28,41,37,8,5462477
27/07/2019,01,09,17,19,38,43,31,9,3137903
25/07/2019,07,15,16,35,37,38,27,6,2037959
20/07/2019,15,21,22,26,28,35,39,6,9240002
18/07/2019,18,23,24,33,45,48,21,6,7445668
13/07/2019,07,14,29,31,43,46,25,6,1089080
11/07/2019,12,13,26,30,39,46,32,8,2283653
6/07/2019,09,14,15,22,26,48,29,9,5506609
4/07/2019,02,13,19,32,34,49,23,6,1078660
29/06/2019,07,14,23,27,31,45,20,6,2699453
27/06/2019,08,13,17,27,32,49,38,3,5171135
22/06/2019,01,02,03,12,18,27,21,1,2488626
20/06/2019,07,09,14,35,39,48,10,2,4812959
15/06/2019,12,15,18,21,32,43,38,5,2957554
13/06/2019,12,15,21,30,44,47,06,9,2037520
8/06/2019,05,23,25,28,30,42,11,7,2706124
6/06/2019,06,11,17,21,36,45,03,7,9866093
1/06/2019,14,21,22,26,44,49,09,5,7277438
30/05/2019,02,15,21,39,44,48,37,8,6830506
25/05/2019,04,17,19,36,38,48,06,2,7307644
23/05/2019,11,14,16,18,39,41,43,7,7735359
18/05/2019,03,16,19,30,36,47,12,4,7438102
16/05/2019,01,15,27,29,31,33,26,2,1281749
11/05/2019,07,15,17,28,45,47,11,7,3498077
9/05/2019,11,21,24,26,35,38,06,1,5444180
4/05/2019,09,21,34,35,47,48,12,7,5612659
2/05/2019,03,06,11,15,22,24,12,9,2835635
27/04/2019,05,08,27,30,47,49,33,3,9282239
25/04/2019,04,15,16,21,28,42,01,8,5938743
20/04/2019,02,04,19,40,44,45,36,8,6200003
18/04/2019,18,19,25,29,32,41,10,6,7918238
13/04/2019,15,18,21,29,40,47,09,8,6313699
11/04/2019,03,22,36,39,45,47,29,6,4885695
6/04/2019,01,10,14,33,39,44,20,7,1410732
4/04/2019,06,16,17,25,36,37,44,3,7005413
30/03/2019,04,05,22,32,44,45,23,8,5062864
28/03/2019,01,07,10,23,38,47,13,2,8971326
23/03/2019,03,08,20,25,30,38,24,0,2329039
21/03/2019,17,22,38,44,47,49,46,5,7627220
16/03/2019,06,17,19,29,31,38,35,4,4371453
14/03/2019,10,16,17,23,27,43,39,3,9908320
9/03/2019,03,23,25,37,43,46,16,0,1530602
7/03/2019,04,06,15,21,26,40,32,0,4814606
2/03/2019,03,05,19,35,40,47,30,1,3030111
28/02/2019,02,20,22,29,34,36,28,2,4792719
23/02/2019,07,15,28,29,38,48,22,6,8462492
21/02/2019,04,13,26,40,41,48,06,7,1691065
16/02/2019,08,19,24,25,29,49,38,3,8312662
14/02/2019,03,10,28,34,40,42,01,2,6821832
9/02/2019,27,30,35,36,40,49,21,3,9961573
7/02/2019,07,08,27,37,41,45,14,1,6826284
2/02/2019,08,21,25,27,43,47,12,3,3131246
31/01/2019,05,07,23,25,33,42,14,1,3996359
26/01/2019,08,24,34,37,43,48,29,3,4898847
24/01/2019,02,05,14,18,35,49,32,4,6371312
19/01/2019,07,08,24,32,36,41,11,9,7781180
17/01/2019,08,19,24,26,30,47,07,4,8270620
12/01/2019,03,06,07,32,41,43,27,7,8384506
10/01/2019,06,10,13,14,15,28,01,5,3019574
5/01/2019,19,21,29,37,41,49,26,0,4308958
3/01/2019,07,13,23,40,41,49,16,3,9289131
29/12/2018,07,15,20,28,32,42,17,3,1828699
27/12/2018,01,23,29,31,35,42,20,6,4129570
22/12/2018,08,11,32,41,44,45,38,3,1092798
20/12/2018,08,24,25,31,43,46,12,8,7952896
15/12/2018,06,09,10,24,26,32,25,5,3459017
13/12/2018,02,10,41,42,44,45,33,3,3661223
8/12/2018,08,09,12,19,24,41,39,4,9759406
6/12/2018,19,20,32,37,42,49,46,0,6931344
1/12/2018,02,12,19,39,44,45,22,9,1687972
29/11/2018,08,18,26,40,44,49,04,7,3594429
24/11/2018,02,10,14,19,24,35,32,9,7216216
22/11/2018,09,22,39,43,45,47,04,4,0336382
17/11/2018,02,14,23,29,30,39,37,2,5045646
15/11/2018,06,26,36,39,40,45,12,8,5892581
10/11/2018,20,21,22,24,40,46,27,8,2221137
8/11/2018,16,22,26,30,35,39,33,6,6306097
3/11/2018,01,08,16,23,36,43,44,2,9739741
1/11/2018,13,21,28,36,37,40,39,4,9201378
27/10/2018,08,15,16,34,40,42,18,6,4942666
25/10/2018,07,12,13,19,31,42,11,8,3192431
20/10/2018,03,12,19,20,24,39,45,8,7003139
18/10/2018,05,09,16,28,41,43,44,2,4223358
13/10/2018,03,11,15,17,21,40,29,8,5951222
11/10/2018,02,18,24,26,27,30,34,0,3016926
6/10/2018,01,11,19,26,27,34,44,8,1141111
4/10/2018,19,28,34,36,41,47,16,1,1074174
29/09/2018,07,08,22,34,39,45,25,4,6509406
27/09/2018,04,10,17,18,21,42,45,7,0248351
22/09/2018,09,16,19,31,32,48,08,8,4481991
20/09/2018,04,24,26,34,36,46,39,9,6294950
15/09/2018,04,21,24,26,34,36,14,8,1326119
13/09/2018,02,11,23,24,43,49,08,7,6080327
8/09/2018,09,16,30,38,40,41,04,7,4964094
6/09/2018,03,11,21,27,28,34,40,9,1598875
1/09/2018,04,07,19,37,44,45,12,2,8085680
30/08/2018,08,11,27,38,40,44,26,5,0145143
25/08/2018,08,17,18,34,41,49,03,9,9041065
23/08/2018,02,09,12,40,45,48,05,6,5849579
18/08/2018,07,25,35,37,41,42,15,1,4002586
16/08/2018,02,04,05,13,30,38,35,2,7539920
11/08/2018,10,13,15,16,24,43,20,0,0129909
9/08/2018,04,12,15,17,37,46,16,8,8668538
4/08/2018,06,15,35,37,45,48,49,3,5658454
2/08/2018,10,18,25,37,38,49,32,9,1361981
28/07/2018,02,10,12,20,43,46,40,7,2926338
26/07/2018,13,25,31,32,38,40,15,7,2638522
21/07/2018,02,18,24,28,33,36,47,8,1924832
19/07/2018,04,05,09,22,39,49,28,1,4159431
14/07/2018,02,12,16,18,27,40,33,5,7216831
12/07/2018,10,20,25,26,32,47,02,4,6295691
7/07/2018,06,09,10,11,42,44,21,4,7130654
5/07/2018,11,13,31,32,47,49,01,4,0594356
30/06/2018,05,14,16,30,37,44,23,3,3299838
28/06/2018,15,28,31,32,38,49,12,2,4766328
23/06/2018,07,08,09,21,24,25,04,4,9072619
21/06/2018,01,12,34,38,46,48,36,5,8501788
16/06/2018,09,11,18,29,30,43,10,1,4683405
14/06/2018,07,18,35,40,41,49,33,8,5286707
9/06/2018,02,09,13,26,29,35,24,1,2897864
7/06/2018,01,09,17,25,28,44,21,4,6363148
2/06/2018,07,10,12,32,38,41,27,9,0652299
31/05/2018,02,07,11,16,17,44,14,7,7976128
26/05/2018,13,26,30,35,36,39,11,0,7901730
24/05/2018,01,28,31,34,35,40,46,4,5391668
19/05/2018,05,08,20,31,32,33,28,6,2099547
17/05/2018,23,24,25,26,32,35,22,4,1540969
12/05/2018,03,09,15,23,27,37,11,2,0399292
10/05/2018,01,11,22,23,38,39,07,1,2313926
5/05/2018,01,19,26,32,33,34,25,2,8155666
3/05/2018,02,17,18,28,35,40,16,6,3025905
28/04/2018,07,25,31,35,37,39,42,5,0532222
26/04/2018,04,11,25,36,40,49,26,1,9240424
21/04/2018,08,17,19,29,42,43,40,6,1349238
19/04/2018,10,19,33,43,45,46,32,2,5477746
14/04/2018,03,17,20,22,24,34,04,3,2322081
12/04/2018,07,12,18,34,35,41,48,1,6416813
7/04/2018,24,25,34,40,41,43,06,4,4986632
5/04/2018,11,16,23,31,47,49,26,0,4836875
31/03/2018,14,22,24,26,31,41,39,6,6166394
29/03/2018,02,15,17,19,26,38,33,3,0744825
24/03/2018,17,18,21,23,27,48,06,2,5736038
22/03/2018,01,07,24,34,36,48,29,8,2271456
17/03/2018,08,21,35,36,37,43,39,1,4497057
15/03/2018,05,09,11,20,22,29,33,0,3794358
10/03/2018,04,18,20,25,30,49,16,0,6041319
8/03/2018,02,09,12,15,26,31,16,0,5986378
3/03/2018,05,14,24,28,36,49,21,7,4052156
1/03/2018,06,09,17,22,28,36,07,1,8185066
24/02/2018,04,05,12,27,43,45,40,7,3544370
22/02/2018,04,08,11,23,34,35,02,2,6822466
17/02/2018,09,18,19,22,31,38,17,8,8034825
15/02/2018,01,02,21,22,27,47,24,0,4085600
10/02/2018,07,10,12,19,22,45,02,3,9104800
8/02/2018,12,18,19,24,32,42,30,7,7355415
3/02/2018,01,09,11,26,33,40,27,2,6229581
1/02/2018,01,04,38,42,46,49,35,2,5778491
27/01/2018,07,08,10,14,27,48,42,7,3129415
25/01/2018,03,06,25,31,32,40,20,6,8889779
20/01/2018,15,23,28,36,39,47,29,8,3031690
18/01/2018,11,12,22,28,37,49,24,0,3973025
13/01/2018,06,07,22,31,38,44,40,8,0005053
11/01/2018,15,24,29,32,36,46,44,0,4807239
6/01/2018,19,28,33,40,42,48,38,0,0263047
4/01/2018,06,09,13,24,35,42,16,3,5207129
30/12/2017,08,09,11,21,42,44,22,8,2084066
28/12/2017,03,05,21,26,28,34,42,2,0347442
23/12/2017,04,24,26,30,39,46,06,4,4895273
21/12/2017,03,15,27,35,36,45,16,8,5353322
16/12/2017,16,19,28,45,48,49,17,8,6940439
14/12/2017,25,28,31,35,44,48,47,6,8001577
9/12/2017,05,32,33,38,40,47,34,2,2933861
7/12/2017,01,03,04,07,14,45,18,6,6681262
2/12/2017,03,11,16,19,22,47,38,6,4642369
30/11/2017,05,06,09,20,29,30,08,4,3311430
25/11/2017,21,29,31,32,34,46,38,4,0201206
23/11/2017,03,09,11,35,43,45,33,6,0408022
18/11/2017,03,07,12,29,31,44,46,5,3626953
16/11/2017,05,10,11,13,23,41,37,0,0842346
11/11/2017,06,08,22,24,43,45,11,1,2263393
9/11/2017,01,09,10,12,27,49,41,9,4831728
4/11/2017,19,25,27,42,47,48,24,8,3831909
2/11/2017,12,19,34,45,47,48,29,1,8793880
28/10/2017,03,17,21,35,37,38,18,5,3830882
26/10/2017,02,06,17,25,37,49,30,5,2421855
21/10/2017,05,06,17,22,34,40,35,7,2320614
19/10/2017,07,11,16,31,41,42,17,3,5231978
14/10/2017,16,23,26,35,45,47,19,5,9029583
12/10/2017,07,09,20,31,37,47,18,7,1934673
7/10/2017,01,20,23,41,45,47,22,4,3943922
5/10/2017,05,12,23,26,33,48,31,6,4125457
30/09/2017,04,06,31,33,35,42,46,1,3208880
28/09/2017,13,18,28,29,30,33,17,3,8770386
23/09/2017,09,15,18,23,37,41,43,7,9420035
21/09/2017,14,15,20,23,26,48,10,1,1821484
16/09/2017,01,05,07,10,25,44,04,6,2807311
14/09/2017,04,07,16,18,23,36,26,1,2122206
9/09/2017,01,10,20,21,37,44,23,9,7733360
7/09/2017,01,14,18,19,26,37,34,9,0158938
2/09/2017,01,04,18,37,40,49,03,9,2417736
31/08/2017,04,15,20,35,39,41,30,6,8626692
26/08/2017,07,19,23,28,42,49,16,4,0462926
24/08/2017,07,10,12,35,38,40,49,1,7636231
19/08/2017,02,17,35,37,43,48,34,7,5306751
17/08/2017,08,17,19,45,48,49,43,2,8337021
12/08/2017,09,17,19,25,29,46,40,7,4710549
10/08/2017,06,09,20,26,38,45,33,9,3957591
5/08/2017,06,10,17,26,44,49,21,3,2899004
3/08/2017,13,17,20,27,33,34,31,6,2107586
29/07/2017,20,23,35,43,44,47,16,5,5451940
27/07/2017,01,02,05,27,39,49,40,5,2978961
22/07/2017,18,21,27,37,38,40,20,1,6332912
20/07/2017,03,05,22,35,43,46,41,5,9098781
15/07/2017,11,23,32,42,46,47,08,1,7633988
13/07/2017,01,06,08,12,27,40,42,7,7024028
8/07/2017,03,16,21,25,26,39,48,3,5487914
6/07/2017,03,05,09,20,29,49,46,1,6890092
1/07/2017,12,22,26,27,30,31,29,2,8490301
29/06/2017,01,11,20,35,40,49,16,0,4813227
24/06/2017,11,14,21,30,39,40,29,7,7095476
22/06/2017,03,15,30,37,38,41,08,0,8611192
17/06/2017,03,13,16,21,28,43,24,2,1528371
15/06/2017,03,07,11,20,22,30,41,9,4216734
10/06/2017,18,19,22,29,35,45,04,8,5710433
8/06/2017,19,20,25,32,33,34,24,4,5033401
3/06/2017,09,12,13,22,23,43,40,9,7430613
1/06/2017,07,10,26,29,33,37,06,9,6720121
27/05/2017,18,25,26,29,30,39,44,5,9250822
25/05/2017,18,21,28,32,34,42,07,4,5155285
20/05/2017,10,24,25,31,32,36,48,9,3338148
18/05/2017,08,15,16,19,27,47,10,5,4803437
13/05/2017,03,09,28,29,41,42,06,5,9843362
11/05/2017,06,19,20,28,31,39,35,9,5115523
6/05/2017,01,22,26,27,31,34,28,3,1796864
4/05/2017,09,11,17,23,28,36,20,0,4234887
29/04/2017,03,12,22,24,35,46,26,2,7096586
27/04/2017,10,11,26,32,33,44,28,4,8477837
22/04/2017,01,11,16,26,45,47,41,4,2328763
20/04/2017,11,16,21,22,28,46,25,6,2369224
15/04/2017,06,14,24,30,35,48,04,0,1767144
13/04/2017,02,14,20,24,41,47,36,3,1692837
8/04/2017,03,19,40,44,47,48,24,1,0474039
6/04/2017,07,15,16,25,28,29,04,7,7821357
1/04/2017,06,08,18,22,26,36,13,9,9888185
30/03/2017,13,20,33,35,42,48,10,0,7506676
25/03/2017,07,11,35,36,37,40,08,7,4204927
23/03/2017,16,25,29,35,39,49,17,5,3889853
18/03/2017,03,05,14,21,28,43,23,6,8551989
16/03/2017,04,38,39,41,45,49,47,0,7596550
11/03/2017,01,22,28,37,39,43,44,0,2307688
9/03/2017,03,04,24,30,36,44,21,8,4267743
4/03/2017,08,17,25,26,38,48,04,2,8552472
2/03/2017,22,25,29,41,42,43,34,5,1753766
25/02/2017,02,09,13,27,36,48,28,9,0441528
23/02/2017,11,12,17,27,42,48,05,0,1251087
18/02/2017,05,15,19,21,29,39,43,1,8718603
16/02/2017,03,16,25,29,35,40,05,7,6621714
11/02/2017,04,22,36,40,43,47,05,4,6692533
9/02/2017,05,18,30,33,37,45,08,7,5162546
4/02/2017,08,26,31,32,39,42,18,5,4575376
2/02/2017,04,05,17,24,27,28,45,3,4356744
28/01/2017,08,10,22,24,35,47,14,3,1680045
26/01/2017,13,15,20,24,32,38,01,5,4760074
21/01/2017,04,09,15,29,37,45,01,2,9367181
19/01/2017,01,06,23,32,39,48,46,4,0759783
14/01/2017,02,03,06,10,25,43,42,7,0846274
12/01/2017,06,10,32,34,36,48,15,5,7845422
7/01/2017,12,28,32,33,36,49,23,5,9822114
5/01/2017,03,09,12,23,27,49,36,3,1956271
31/12/2016,02,03,14,29,36,40,46,2,4581722
29/12/2016,07,19,28,33,38,45,10,1,7080888
24/12/2016,26,29,31,34,36,40,49,9,2094996
22/12/2016,17,28,31,39,47,49,04,9,8846306
17/12/2016,11,18,31,34,35,45,32,4,4981133
15/12/2016,16,17,21,26,31,38,03,3,2508805
10/12/2016,09,15,25,37,47,49,40,6,5441519
8/12/2016,07,12,13,21,44,46,01,4,6802617
3/12/2016,03,05,08,13,21,43,46,8,3025830
1/12/2016,22,30,33,40,42,45,31,7,4343931
26/11/2016,03,14,15,19,20,28,47,4,4185724
24/11/2016,01,06,10,14,34,46,24,4,1267822
19/11/2016,06,14,15,39,46,48,41,0,4822481
17/11/2016,02,09,16,21,30,31,34,1,5449460
12/11/2016,05,22,26,33,47,48,04,0,8069844
10/11/2016,02,08,15,22,28,48,29,6,6140988
5/11/2016,04,07,14,30,46,49,29,8,0838495
3/11/2016,12,21,29,30,44,46,45,2,0456987
29/10/2016,04,14,16,26,38,47,22,8,8097279
27/10/2016,02,04,22,23,32,35,21,8,9144674
22/10/2016,12,13,15,31,32,43,06,8,4586698
20/10/2016,05,07,15,18,20,21,17,8,7722013
15/10/2016,01,22,27,42,43,49,08,2,3751755
13/10/2016,01,05,18,21,32,36,45,8,6924653
8/10/2016,04,09,20,29,41,49,24,2,7293360
6/10/2016,03,19,23,26,30,41,13,4,2471761
1/10/2016,02,07,16,20,35,42,10,6,8834554
29/09/2016,08,14,28,39,40,42,49,2,6199432
24/09/2016,04,09,21,42,45,48,27,8,5198014
22/09/2016,09,15,18,42,43,49,41,6,6654706
17/09/2016,08,14,20,22,28,32,45,2,9904753
15/09/2016,07,14,24,34,35,40,25,3,4704571
10/09/2016,24,28,34,38,39,44,06,2,8129821
8/09/2016,04,05,07,29,42,46,43,7,0402754
3/09/2016,04,14,30,31,34,44,20,5,7043521
1/09/2016,17,19,21,31,35,48,04,7,6763781
27/08/2016,06,09,14,32,36,45,10,4,6859710
25/08/2016,07,10,16,26,35,40,49,8,5829895
20/08/2016,02,11,17,26,34,40,22,0,3184528
18/08/2016,09,14,22,33,37,39,46,3,3475935
13/08/2016,10,13,24,33,40,45,32,3,2298830
11/08/2016,11,13,20,31,34,40,24,8,4734288
6/08/2016,12,17,30,39,43,47,32,2,8729560
4/08/2016,05,08,12,14,21,28,27,6,0771212
30/07/2016,11,24,28,30,32,34,25,5,7265676
28/07/2016,02,06,10,20,38,40,45,3,7460048
23/07/2016,06,11,12,25,36,46,20,2,0184055
21/07/2016,04,05,22,36,42,47,06,4,8725195
16/07/2016,12,16,28,32,43,45,19,2,3717849
14/07/2016,03,10,17,26,36,41,11,8,0528363
9/07/2016,04,05,37,40,41,45,13,6,5762882
7/07/2016,07,15,20,23,29,34,04,8,9726922
2/07/2016,04,14,15,16,18,40,30,7,9059705
30/06/2016,01,06,30,31,41,43,33,3,7201703
25/06/2016,06,19,21,22,34,37,16,3,6123569
23/06/2016,09,16,20,21,33,41,26,7,4855906
18/06/2016,02,10,14,16,27,44,24,8,8959253
16/06/2016,08,09,15,19,21,49,44,5,1984350
11/06/2016,17,26,36,37,38,46,20,3,9871966
9/06/2016,02,09,10,14,25,41,03,4,0794280
4/06/2016,01,11,14,16,20,41,10,1,4497776
2/06/2016,27,35,38,45,46,47,23,6,3402623
28/05/2016,20,28,30,36,41,46,02,1,1029775
26/05/2016,03,11,13,23,32,47,19,0,6994337
21/05/2016,07,10,13,15,35,38,39,4,3914317
19/05/2016,01,30,40,43,45,48,02,3,8873068
14/05/2016,05,10,12,22,34,35,18,9,8332551
12/05/2016,18,22,23,25,42,44,07,2,4826009
7/05/2016,04,05,16,18,21,36,23,9,5550312
5/05/2016,08,26,42,46,48,49,40,8,7104620
30/04/2016,04,13,31,41,43,48,34,7,1441395
28/04/2016,03,10,33,35,43,44,20,2,3113753
23/04/2016,05,06,08,26,39,40,02,3,9102554
21/04/2016,01,02,06,25,31,44,49,6,0128140
16/04/2016,02,03,12,16,32,40,23,9,0483213
14/04/2016,02,11,27,29,31,48,04,2,4049112
9/04/2016,01,17,25,29,30,40,02,0,9626669
7/04/2016,01,11,22,28,38,44,40,9,9503753
2/04/2016,06,07,15,27,32,40,43,3,7720259
31/03/2016,01,08,10,12,26,27,06,5,5192374
26/03/2016,19,21,28,32,43,48,09,4,9025340
24/03/2016,01,12,13,23,40,43,48,2,6394742
19/03/2016,01,12,21,35,44,45,17,6,4865512
17/03/2016,08,11,12,18,36,44,43,0,6499794
12/03/2016,12,17,23,27,37,40,29,2,5698939
10/03/2016,03,08,24,31,32,49,15,6,7770194
5/03/2016,06,07,11,28,38,45,33,6,6034570
3/03/2016,02,13,14,29,43,45,46,1,0821514
27/02/2016,05,11,20,32,35,43,26,6,2651869
25/02/2016,11,13,17,26,34,48,19,3,9377893
20/02/2016,03,11,17,41,45,47,10,6,7156900
18/02/2016,03,10,28,35,47,49,08,1,8312304
13/02/2016,27,30,34,43,46,49,14,1,4350884
11/02/2016,02,12,18,34,37,46,30,7,6886082
6/02/2016,06,11,20,26,38,46,21,6,2215524
4/02/2016,03,05,22,33,39,40,32,8,3306339
30/01/2016,02,06,11,33,37,46,49,8,6464480
28/01/2016,06,23,30,33,37,44,10,2,2514612
23/01/2016,06,10,24,27,32,45,18,2,2778789
21/01/2016,04,15,17,19,24,37,21,5,2002991
16/01/2016,12,17,19,27,32,48,26,6,2961285
14/01/2016,04,11,19,40,46,49,45,9,5042697
9/01/2016,04,10,12,14,17,47,09,0,2735517
7/01/2016,15,24,31,38,41,46,32,9,4938159
2/01/2016,05,06,08,10,29,37,35,9,1522099
31/12/2015,05,30,33,37,41,42,24,0,2191530
26/12/2015,12,15,20,41,43,47,03,7,8417949
24/12/2015,03,18,26,37,39,42,19,0,6190834
19/12/2015,07,08,15,16,34,35,42,0,1156606
17/12/2015,11,28,34,38,46,49,16,2,8289391
12/12/2015,10,22,30,36,45,47,32,2,1535926
10/12/2015,21,22,32,33,38,42,17,7,9194487
5/12/2015,02,11,13,14,28,46,21,5,9262689
3/12/2015,12,20,23,24,44,48,01,8,4001956
28/11/2015,06,20,22,30,46,47,42,3,0917729
26/11/2015,01,13,18,19,39,45,16,3,2670798
21/11/2015,02,06,29,38,40,46,19,8,9428471
19/11/2015,11,15,25,40,47,48,06,5,9197742
14/11/2015,13,14,15,32,40,49,08,5,4841842
12/11/2015,10,23,25,31,40,46,24,7,0193918
7/11/2015,03,04,20,24,29,49,05,7,0440304
5/11/2015,01,06,25,35,36,41,20,3,4623007
31/10/2015,13,16,24,30,38,48,15,4,2982227
29/10/2015,25,27,33,36,41,45,17,2,6153644
24/10/2015,01,15,20,33,46,47,40,9,9337872
22/10/2015,02,03,08,21,27,41,15,3,5517339
17/10/2015,01,02,11,21,22,44,15,4,0215261
15/10/2015,01,07,21,27,38,46,41,6,5749320
10/10/2015,07,11,22,23,26,30,04,0,9383987
8/10/2015,12,14,21,30,37,40,39,3,1547049
3/10/2015,01,19,21,28,45,48,17,0,1527645
1/10/2015,11,17,30,39,45,49,33,1,8149053
26/09/2015,18,19,26,35,46,49,11,4,8588263
24/09/2015,05,11,19,27,34,46,47,6,2596802
19/09/2015,02,03,12,16,29,37,36,1,6668765
17/09/2015,16,17,23,24,39,42,37,4,4628103
12/09/2015,09,14,19,43,44,48,03,0,2007407
10/09/2015,11,19,22,26,28,30,17,1,5507637
5/09/2015,05,17,21,23,42,46,29,9,1218683
3/09/2015,03,07,15,37,38,46,42,7,8686764
29/08/2015,01,06,41,47,48,49,45,8,4193665
27/08/2015,08,13,24,32,39,42,18,8,9402717
22/08/2015,01,16,25,28,33,38,27,9,6259465
20/08/2015,03,10,12,23,35,39,43,2,2972819
15/08/2015,12,19,24,39,40,42,44,9,1937732
13/08/2015,11,19,25,26,29,30,03,5,7117365
8/08/2015,03,09,13,15,25,28,21,0,9695659
6/08/2015,10,14,17,33,39,46,03,5,1848816
1/08/2015,01,09,16,20,28,31,25,7,9671257
30/07/2015,04,08,13,19,32,46,43,7,6942790
25/07/2015,04,06,12,16,25,43,18,0,4634984
23/07/2015,12,20,28,36,39,45,31,4,6504899
18/07/2015,01,24,30,41,45,46,20,4,7668936
16/07/2015,02,03,04,07,21,38,24,4,3139711
11/07/2015,12,20,22,23,30,44,11,6,6353110
9/07/2015,06,07,14,15,25,43,12,8,6307291
4/07/2015,18,19,28,45,46,49,35,4,6103359
2/07/2015,18,21,32,36,45,46,25,4,0689866
27/06/2015,01,08,10,16,26,32,15,2,7760912
25/06/2015,01,02,07,08,11,42,32,5,9663395
20/06/2015,09,17,21,31,34,41,39,3,4957111
18/06/2015,11,14,19,24,39,43,42,2,2729163
13/06/2015,24,37,40,41,43,46,47,3,5981260
11/06/2015,11,15,21,25,38,44,02,2,5014887
6/06/2015,03,28,30,31,36,41,49,7,0051444
